product_name,category,confidence,second_best,second_confidence
MamaEarth Skin Illuminate Face Serum with Vitamin C (15 ml),Beauty_Personal_Care,0.1969,Home_Appliances,0.0777
Apple iPhone 15 Pro Max 256GB Natural Titanium,Mobile_Accessories,0.2555,Home_Storage_Organization,0.1348
Samsung 7 kg Fully Automatic Front Load Washing Machine,Home_Appliances,0.4895,Mobile_Accessories,0.0946
HP 15s AMD Ryzen 5 Laptop 15.6-inch FHD Display,Mobile_Accessories,0.1589,Security_Surveillance,0.0838
Nike Air Max 270 Men's Running Shoes,Footwear,0.9438,Mens_Clothing,0.0113
Sony Bravia 55 inch 4K Ultra HD Smart LED TV,Home_Appliances,0.3648,Networking_Devices,0.0979
Philips Air Fryer HD9252/90 4.1 Liter Digital,Home_Appliances,0.2715,Kitchen_Appliances,0.073
Godrej Interio Engineered Wood Study Table with Drawer,Furniture,0.8484,Home_Storage_Organization,0.0144
boAt Airdopes 131 Wireless Earbuds with Mic,Mobile_Accessories,0.2444,Wearables,0.1045
Prestige Iris 750 Watt Mixer Grinder 3 Jars,Kitchen_Appliances,0.2895,Home_Appliances,0.1794
