Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0,enjoying beautiful day park,positive,20230115 123000,user123,twitter,nature park,15.0,30.0,usa,2023,1,15,12
1,1,traffic terrible morning,negative,20230115 084500,commuterx,twitter,traffic morning,5.0,10.0,canada,2023,1,15,8
2,2,finished amazing workout ðª,positive,20230115 154500,fitnessfan,instagram,fitness workout,20.0,40.0,usa,2023,1,15,15
3,3,excited upcoming weekend getaway,positive,20230115 182000,adventurex,facebook,travel adventure,8.0,15.0,uk,2023,1,15,18
4,4,trying new recipe dinner tonight,neutral,20230115 195500,chefcook,instagram,cooking food,12.0,25.0,australia,2023,1,15,19
5,5,feeling grateful little things life,positive,20230116 091000,gratitudenow,twitter,gratitude positivevibes,25.0,50.0,india,2023,1,16,9
6,6,rainy days call cozy blankets hot cocoa,positive,20230116 144500,rainydays,facebook,rainydays cozy,10.0,20.0,canada,2023,1,16,14
7,7,new movie release mustwatch,positive,20230116 193000,moviebuff,instagram,movienight mustwatch,15.0,30.0,usa,2023,1,16,19
8,8,political discussions heating timeline,negative,20230117 080000,debatetalk,twitter,politics debate,30.0,60.0,usa,2023,1,17,8
9,9,missing summer vibes beach days,neutral,20230117 122000,beachlover,facebook,summer beachdays,18.0,35.0,australia,2023,1,17,12
10,10,published new blog post check,positive,20230117 151500,bloggerx,instagram,blogging newpost,22.0,45.0,usa,2023,1,17,15
11,11,feeling bit weather today,negative,20230118 103000,wellnesscheck,twitter,sickday health,7.0,15.0,canada,2023,1,18,10
12,12,exploring citys hidden gems,positive,20230118 145000,urbanexplorer,facebook,cityexplore hiddengems,12.0,25.0,uk,2023,1,18,14
13,13,new year new fitness goals ðª,positive,20230118 180000,fitjourney,instagram,newyear fitnessgoals,28.0,55.0,usa,2023,1,18,18
14,14,technology changing way live,neutral,20230119 094500,techenthusiast,twitter,tech innovation,15.0,30.0,india,2023,1,19,9
15,15,reflecting past looking ahead,positive,20230119 132000,reflections,facebook,reflection future,20.0,40.0,usa,2023,1,19,13
16,16,adopted cute furry friend ð¾,positive,20230119 171000,petadopter,instagram,petadoption furryfriend,15.0,30.0,canada,2023,1,19,17
17,17,latenight gaming session friends,positive,20230120 000500,gamerx,twitter,gaming latenight,18.0,35.0,uk,2023,1,20,0
18,18,attending virtual conference ai,neutral,20230120 113000,techconference,facebook,ai techconference,25.0,50.0,usa,2023,1,20,11
19,19,winter blues got feeling low,negative,20230120 151500,winterblues,instagram,winterblues mood,8.0,15.0,usa,2023,1,20,15
20,20,sipping coffee enjoying good book,positive,20230121 084000,bookworm,twitter,reading coffeetime,22.0,45.0,india,2023,1,21,8
21,21,exploring world virtual reality,positive,20230121 132000,vrexplorer,facebook,vr virtualreality,15.0,30.0,usa,2023,1,21,13
22,22,productive day ticking todo list,positive,20230121 164500,productivitypro,instagram,productivity workfromhome,30.0,60.0,usa,2023,1,21,16
23,23,finished challenging workout routine,positive,20230122 091500,fitnesswarrior,twitter,fitness challengeaccepted,20.0,40.0,uk,2023,1,22,9
24,24,celebrating milestone work ð,positive,20230122 143000,careermilestone,facebook,career milestone,12.0,25.0,canada,2023,1,22,14
25,25,sunday brunch friends,positive,20230122 120000,brunchbuddy,instagram,brunch friends,15.0,30.0,uk,2023,1,22,12
27,28,learning new language personal growth,positive,20230123 162000,languagelearner,facebook,languagelearning personalgrowth,25.0,50.0,india,2023,1,23,16
28,29,quiet evening good book,positive,20230123 194500,booklover,instagram,reading quiettime,15.0,30.0,australia,2023,1,23,19
29,30,reflecting importance mental health,positive,20230124 113000,mentalhealthmatters,twitter,mentalhealth selfcare,22.0,45.0,usa,2023,1,24,11
30,31,new painting progress ð,positive,20230124 150000,artistinaction,facebook,art paintinginprogress,12.0,25.0,canada,2023,1,24,15
31,32,weekend road trip explore scenic views,positive,20230124 173000,roadtripper,instagram,roadtrip scenicviews,18.0,35.0,uk,2023,1,24,17
32,33,enjoying cup tea watching sunset,positive,20230125 180000,sunsetwatcher,twitter,teatime sunset,15.0,30.0,india,2023,1,25,18
33,34,coding new project enthusiasm,positive,20230125 131500,codeenthusiast,facebook,coding enthusiasm,30.0,60.0,usa,2023,1,25,13
34,35,feeling inspired attending workshop,positive,20230126 094500,workshopattendee,instagram,inspiration workshop,25.0,50.0,usa,2023,1,26,9
35,36,winter sports day local park,positive,20230126 142000,wintersports,twitter,wintersports fun,15.0,30.0,canada,2023,1,26,14
36,37,quality time family weekend,positive,20230126 174000,familytime,facebook,familytime weekend,22.0,45.0,uk,2023,1,26,17
37,38,attending live music concert tonight,positive,20230127 200000,musiclover,instagram,music concertnight,18.0,35.0,usa,2023,1,27,20
38,39,practicing mindfulness meditation,positive,20230127 123000,mindfulmoments,twitter,mindfulness meditation,15.0,30.0,india,2023,1,27,12
39,40,trying new dessert recipe,positive,20230127 161000,dessertexplorer,facebook,dessert cooking,12.0,25.0,canada,2023,1,27,16
40,41,excited upcoming gaming tournament,positive,20230128 090000,gamingenthusiast,instagram,gaming tournament,30.0,60.0,usa,2023,1,28,9
41,42,planning garden makeover spring,positive,20230128 144500,gardenplanner,twitter,gardening spring,25.0,50.0,usa,2023,1,28,14
42,43,celebrating friends birthday tonight ð,positive,20230128 193000,birthdaybash,facebook,birthday celebration,15.0,30.0,uk,2023,1,28,19
43,44,feeling accomplished productive day,positive,20230129 170000,productivitywin,instagram,accomplished success,22.0,45.0,india,2023,1,29,17
44,45,cozy evening good movie,positive,20230129 202000,movienight,twitter,cozynight movietime,18.0,35.0,canada,2023,1,29,20
45,46,exploring local art galleries weekend,positive,20230130 113000,artexplorer,facebook,art galleryexplore,15.0,30.0,usa,2023,1,30,11
46,47,new book release favorite author,positive,20230130 154500,bookwormx,instagram,bookrelease favoriteauthor,12.0,25.0,uk,2023,1,30,15
47,48,attending virtual reality meetup,positive,20230130 183000,vrmeetup,twitter,vrmeetup virtualreality,28.0,55.0,india,2023,1,30,18
48,49,reflecting beauty nature,positive,20230131 104500,naturelover,facebook,nature reflection,15.0,30.0,australia,2023,1,31,10
49,50,cooking special dinner loved ones,positive,20230131 190000,chefathome,instagram,cooking specialdinner,20.0,40.0,usa,2023,1,31,19
50,51,feeling optimistic week ahead,positive,20230131 162000,optimisticmindset,twitter,optimism newweek,15.0,30.0,canada,2023,1,31,16
51,52,starting new fitness challenge tomorrow ðª,positive,20230201 080000,fitnesschallenge,facebook,fitnesschallenge newbeginnings,22.0,45.0,uk,2023,2,1,8
52,53,sunday bike ride scenic trails,positive,20230201 133000,bikeexplorer,instagram,bikeride scenictrails,18.0,35.0,usa,2023,2,1,13
53,55,cant believe injustice happening society,anger,20230211 093000,socialjustice,twitter,injustice angry,20.0,40.0,canada,2023,2,11,9
54,56,feeling sense fear watching thriller movie,fear,20230211 211500,thrillerfan,instagram,fear thrillermovie,15.0,30.0,usa,2023,2,11,21
55,57,heartbroken hearing news natural disaster,sadness,20230212 144500,empathyfirst,facebook,sadness naturaldisaster,25.0,50.0,india,2023,2,12,14
56,58,state worlds environment disgusting,disgust,20230212 182000,ecoawareness,twitter,disgust environment,18.0,35.0,uk,2023,2,12,18
57,59,pure happiness celebrating loved ones achievement,happiness,20230213 100000,proudfriend,instagram,happiness celebration,30.0,60.0,usa,2023,2,13,10
58,60,laughter best medicineâenjoying comedy show,joy,20230213 193000,comedyfan,facebook,joy comedyshow,22.0,45.0,canada,2023,2,13,19
59,61,sharing love positive vibes everyone âï,love,20230214 083000,lovespreader,twitter,love spreadlove,15.0,30.0,australia,2023,2,14,8
60,62,amusing incident brightened day,amusement,20230214 142000,amusedsoul,instagram,amusement funtimes,18.0,35.0,uk,2023,2,14,14
61,63,enjoying quiet evening book tea,enjoyment,20230214 194500,bookloveragain,facebook,enjoyment booktime,25.0,50.0,canada,2023,2,14,19
62,64,admiring beauty nature peaceful hike,admiration,20230215 113000,natureadmirer,twitter,admiration nature,20.0,40.0,usa,2023,2,15,11
63,65,sending affectionate vibes followers,affection,20230215 160000,affectionsender,instagram,affection positivevibes,15.0,30.0,usa,2023,2,15,16
64,66,experiencing awe breathtaking sunset,awe,20230215 203000,awestruck,facebook,awe breathtaking,22.0,45.0,australia,2023,2,15,20
65,67,disappointed service local restaurant,disappointed,20230216 090000,foodiegonewrong,twitter,disappointed badservice,18.0,35.0,india,2023,2,16,9
66,68,surprise gift friend made day,surprise,20230216 144500,happysurprise,instagram,surprise gift,25.0,50.0,usa,2023,2,16,14
67,69,finding acceptance midst lifes challenges,acceptance,20230216 182000,acceptanceseeker,facebook,acceptance challenges,15.0,30.0,canada,2023,2,16,18
68,70,overflowing adoration adorable pet ð¾,adoration,20230217 104500,petadorer,twitter,adoration petlove,22.0,45.0,uk,2023,2,17,10
69,71,anticipating thrilling adventure coming weeks,anticipation,20230217 073000,adventureawaits,instagram,anticipation adventure,20.0,40.0,usa,2023,2,17,7
70,72,bitter experience turned valuable lesson,bitter,20230217 150000,learnfrombitter,facebook,bitterlesson growth,18.0,35.0,usa,2023,2,17,15
71,73,finding calmness midst busy day,calmness,20230218 093000,zenmaster,twitter,calmness peacefulmind,15.0,30.0,india,2023,2,18,9
72,74,confusion clouds mind navigate decisions,confusion,20230218 142000,confusedmind,instagram,confusion decisionmaking,25.0,50.0,uk,2023,2,18,14
73,75,excitement building upcoming vacation,excitement,20230218 184500,vacationdreamer,facebook,excitement travelplans,22.0,45.0,canada,2023,2,18,18
74,76,kindness witnessed today restored faith humanity,kind,20230219 113000,kindnessprevails,twitter,kindness humanity,20.0,40.0,usa,2023,2,19,11
75,77,pride achieving personal milestone,pride,20230219 160000,personalachiever,instagram,pride milestone,30.0,60.0,australia,2023,2,19,16
76,78,moment shame standing injustice,shame,20230219 194500,reflectiveself,facebook,shame injustice,15.0,30.0,india,2023,2,19,19
77,79,fuming anger heated argument,anger,20230220 093000,angrydebater,twitter,anger argument,20.0,40.0,canada,2023,2,20,9
78,80,fear unknown keeping night,fear,20230220 211500,fearfuldreamer,instagram,fear unknown,15.0,30.0,usa,2023,2,20,21
79,81,heartfelt sadness bidding farewell dear friend,sadness,20230221 144500,farewellheart,facebook,sadness farewell,25.0,50.0,india,2023,2,21,14
80,82,state corruption society utterly disgusting,disgust,20230221 182000,anticorruption,twitter,disgust corruption,18.0,35.0,uk,2023,2,21,18
81,83,overflowing happiness welcoming new family member,happiness,20230222 100000,newparentjoy,instagram,happiness newfamilymember,30.0,60.0,uk,2023,2,22,10
82,84,laughter key joyâattending standup comedy show,joy,20230222 193000,standupfan,facebook,joy standupcomedy,22.0,45.0,canada,2023,2,22,19
83,85,sending love followers beautiful day âï,love,20230223 083000,lovesender,twitter,love spreadlove,15.0,30.0,australia,2023,2,23,8
84,86,amused antics petâits pure amusement,amusement,20230223 142000,petamuser,instagram,amusement petantics,18.0,35.0,uk,2023,2,23,14
85,87,enjoying every moment tripâpure enjoyment,enjoyment,20230223 194500,travelexplorer,facebook,enjoyment travel,25.0,50.0,usa,2023,2,23,19
86,88,admiring dedication volunteers local charity,admiration,20230224 113000,charityadmirer,twitter,admiration volunteers,20.0,40.0,usa,2023,2,24,11
87,89,sending affectionate vibes friends family,affection,20230224 160000,familylover,instagram,affection familylove,15.0,30.0,usa,2023,2,24,16
88,90,awestruck beauty night sky,awe,20230224 203000,stargazer,facebook,awe starrynight,22.0,45.0,australia,2023,2,24,20
89,91,disappointed lack progress personal project,disappointed,20230225 090000,projectstruggle,twitter,disappointed project,18.0,35.0,india,2023,2,25,9
90,92,surprise visit old friend brought tears joy,surprise,20230225 144500,joyfulreunion,instagram,surprise oldfriends,25.0,50.0,usa,2023,2,25,14
91,93,embracing acceptance lifes ups downs,acceptance,20230225 182000,lifeacceptance,facebook,acceptance lifejourney,15.0,30.0,canada,2023,2,25,18
92,94,overflowing adoration cute rescue puppy ð,adoration,20230226 104500,puppyadmirer,twitter,adoration puppylove,22.0,45.0,uk,2023,2,26,10
93,95,anticipating release muchawaited movie,anticipation,20230226 073000,moviebuff2,instagram,anticipation movierelease,20.0,40.0,australia,2023,2,26,7
94,96,bitter experience customer service department,bitter,20230226 150000,customerwoes,facebook,bitterexperience customerservice,18.0,35.0,usa,2023,2,26,15
95,97,finding calmness amidst chaos daily life,calmness,20230227 093000,calmsoul,twitter,calmness innerpeace,15.0,30.0,india,2023,2,27,9
96,98,confusion reigns try make sense recent events,confusion,20230227 142000,confusedmind2,instagram,confusion makingsense,25.0,50.0,uk,2023,2,27,14
97,99,excitement building surprise birthday party,excitement,20230227 184500,birthdayexcite,facebook,excitement surpriseparty,22.0,45.0,canada,2023,2,27,18
98,100,witnessed act kindness made day,kind,20230228 113000,kindnessobserver,twitter,kindness actsofkindness,20.0,40.0,usa,2023,2,28,11
99,101,pride completing challenging fitness challenge,pride,20230228 160000,fitachiever,instagram,pride fitnesschallengecompleted,30.0,60.0,uk,2023,2,28,16
100,102,moment shame speaking injustice,shame,20230228 194500,reflectiveself2,facebook,shame injustice,15.0,30.0,india,2023,2,28,19
101,103,reflecting beauty diversity world,acceptance,20230301 104500,diversitylover,twitter,acceptance diversity,22.0,45.0,australia,2023,3,1,10
102,104,excitement quiet evening good book,excitement,20230301 133000,bookwormjoy,instagram,excitement booktime,18.0,35.0,usa,2023,3,1,13
103,105,feeling bitter unfairness workplace,bitter,20230301 174500,workplacewoes,twitter,bitter unfairness,15.0,30.0,canada,2023,3,1,17
104,106,calmness prevails practice mindfulness,calmness,20230302 180000,mindfulme,facebook,calmness mindfulness,15.0,30.0,uk,2023,3,2,18
105,107,confusion surrounds navigate lifes choices,confusion,20230302 131500,confusedmind3,instagram,confusion lifechoices,30.0,60.0,usa,2023,3,2,13
106,108,excitement weekend road trip explore new places,excitement,20230302 164500,roadtripper2,twitter,excitement weekendadventure,25.0,50.0,india,2023,3,2,16
107,109,kindness witnessed today restores faith humanity,kind,20230303 113000,kindnessprevails2,facebook,kindness humanityrestored,22.0,45.0,usa,2023,3,3,11
108,110,pride accomplishing personal professional goals,pride,20230303 143000,goalachiever,instagram,pride accomplishments,12.0,25.0,canada,2023,3,3,14
109,111,shame true values difficult situation,shame,20230303 120000,reflectiveself3,twitter,shame integrity,15.0,30.0,uk,2023,3,3,12
110,112,revisiting old memories feeling sense elation,elation,20100515 153000,nostalgiafan,twitter,elation memories,20.0,40.0,canada,2010,5,15,15
